5个数算24点唯一解 (范围1-20)
----------------------------------------
[256] ['11', '18', '19', '19', '20'] -> (((19 / 19) + 11) * (20 - 18))
[257] ['11', '18', '20', '20', '20'] -> (((20 / 20) + 11) * (20 - 18))
[258] ['11', '11', '14', '17', '18'] -> ((((11 + 18) * 11) + 17) / 14)
[259] ['11', '15', '15', '18', '20'] -> (((15 / 15) + 11) * (20 - 18))
[260] ['11', '15', '15', '20', '20'] -> ((((11 + 20) * 15) + 15) / 20)
[261] ['11', '15', '17', '18', '18'] -> (((18 / 18) + 11) * (17 - 15))
[262] ['11', '15', '17', '19', '19'] -> (((19 / 19) + 11) * (17 - 15))
[263] ['12', '19', '19', '19', '19'] -> (((19 / 19) + (19 / 19)) * 12)
[264] ['12', '20', '20', '20', '20'] -> (((20 / 20) + (20 / 20)) * 12)
[265] ['13', '13', '13', '17', '18'] -> ((((13 * 13) + 18) / 17) + 13)
[266] ['13', '13', '14', '14', '19'] -> ((((14 * 14) + 13) / 19) + 13)
[267] ['15', '16', '16', '16', '20'] -> ((((15 + 16) * 16) - 16) / 20)
[268] ['15', '15', '16', '16', '20'] -> (((15 * 16) + (15 * 16)) / 20)
[269] ['13', '13', '17', '17', '18'] -> ((((13 + 17) * 13) + 18) / 17)
