[1413] ['1', '27', '27', '48'] -> (48 / ((27 / 27) + 1))
[1416] ['1', '28', '28', '48'] -> (48 / ((28 / 28) + 1))
[1418] ['1', '28', '32', '45'] -> (45 / ((28 / 32) + 1))
[1420] ['1', '28', '38', '48'] -> (38 / ((28 / 48) + 1))
[1422] ['2', '3', '15', '43'] -> (((15 / 3) + 43) / 2)
[1450] ['2', '3', '22', '39'] -> ((22 / 2) + (39 / 3))
[1461] ['2', '3', '26', '33'] -> ((26 / 2) + (33 / 3))
[1462] ['2', '3', '27', '30'] -> ((27 / 3) + (30 / 2))
[1468] ['2', '3', '30', '38'] -> (((30 / 3) + 38) / 2)
[1476] ['1', '31', '31', '48'] -> (48 / ((31 / 31) + 1))
[1478] ['1', '32', '32', '48'] -> (48 / ((32 / 32) + 1))
[1481] ['1', '33', '33', '48'] -> (48 / ((33 / 33) + 1))
[1483] ['1', '33', '42', '44'] -> (42 / ((33 / 44) + 1))
[1484] ['2', '4', '12', '45'] -> (((12 / 4) + 45) / 2)
[1486] ['2', '4', '12', '47'] -> (2 / (4 - (47 / 12)))
[1487] ['2', '4', '12', '49'] -> (2 / ((49 / 12) - 4))
[1508] ['2', '4', '20', '43'] -> (((20 / 4) + 43) / 2)
[1530] ['2', '4', '28', '41'] -> (((28 / 4) + 41) / 2)
[1536] ['2', '4', '32', '45'] -> (45 / (2 - (4 / 32)))
[1543] ['2', '4', '38', '40'] -> (((40 / 4) + 38) / 2)
[1559] ['2', '5', '5', '46'] -> ((46 / 2) + (5 / 5))
[1560] ['2', '5', '5', '49'] -> ((49 - (5 / 5)) / 2)
[1579] ['2', '5', '10', '47'] -> ((47 / 2) + (5 / 10))
[1581] ['1', '34', '34', '48'] -> (48 / ((34 / 34) + 1))
[1582] ['1', '34', '41', '48'] -> (41 / ((34 / 48) + 1))
[1583] ['1', '35', '35', '48'] -> (48 / ((35 / 35) + 1))
[1584] ['1', '35', '40', '45'] -> (45 / ((35 / 40) + 1))
[1585] ['1', '35', '42', '44'] -> (44 / ((35 / 42) + 1))
[1587] ['1', '36', '42', '48'] -> (42 / ((36 / 48) + 1))
[1588] ['1', '37', '37', '48'] -> (48 / ((37 / 37) + 1))
[1590] ['1', '38', '38', '48'] -> (48 / ((38 / 38) + 1))
[1592] ['2', '6', '12', '47'] -> ((47 / 2) + (6 / 12))
[1593] ['2', '6', '12', '49'] -> ((49 / 2) - (6 / 12))
[1611] ['2', '6', '16', '39'] -> (39 / (2 - (6 / 16)))
[1630] ['2', '6', '20', '45'] -> (6 / ((45 / 20) - 2))
[1665] ['2', '5', '34', '35'] -> ((34 / 2) + (35 / 5))
[1679] ['2', '5', '40', '45'] -> (45 / (2 - (5 / 40)))
[1686] ['2', '6', '6', '46'] -> ((46 / 2) + (6 / 6))
